critical,creative,system
5.39,5.67,7.8
4.54,3.67,4.07
4.52,4.33,4.27
5.45,5.67,5
5.76,5.67,6.13
5.34,5.67,5.13
4.77,5.67,5.8
7.26,7,6.93
6.19,5.67,6.47
5.43,5,5.2
4.76,5.33,4.73
5.64,5.33,5.53
5.47,5.67,5.8
4.03,6.33,4.67
5.22,3.67,6.4
6.14,9,7.73
5.57,3,5.67
5.01,4.67,5.13
6.19,5.33,6.07
3.61,3,6.2
5.01,5.67,6.67
5.02,3.67,5
5.88,5,6.53
6.03,6,6.4
5.48,5.33,4.6
5.95,7,5.67
8,7,9
5.04,4,4.67
3.33,5.67,4.6
6.39,5.67,6.2
6.99,6.67,5.93
4.42,5,5.2
5.38,6.33,5.93
5.38,7.33,5.6
5.5,6,5.13
7.49,7.67,7.2
5.81,4,5.47
5.18,5.67,5.47
6.77,6.67,6.4
NA,NA,4.07
NA,2,4.67
NA,6.67,4.6
NA,6.33,4.8
NA,4,5.33
NA,8,5.2
NA,NA,5.5
NA,6.33,5.93
NA,7,4.6
NA,6.33,4.53
NA,5,5.07
NA,NA,NA
NA,6,4.73
NA,7,6.2
NA,3.67,3.6
NA,2.33,3
NA,6.33,5.27
5.5,6.67,5.27
3.66,6.67,5.6
5.49,5,5.47
5.71,3.33,6.53
7.43,5.33,6.13
NA,2.33,7
NA,9.33,5
NA,6.5,5
NA,4,3
NA,4.33,8
NA,4,3
NA,5.5,7
NA,6.67,9
NA,6,3
NA,4.5,7
NA,7,5
NA,2,6
